00002.0012,001
00002.0013,002
00002.0012,003
00002.0013,004
00002.0012,005
00002.0011,006
00002.0012,007
00002.0011,008
00002.0011,009
00002.0011,010
00002.0010,011
00002.0010,012
00002.0010,013
00002.0010,014
00002.0008,015
00002.0010,016
00002.0010,017
00002.0008,018
00002.0008,019
00002.0009,020
00002.0007,021
00002.0007,022
00002.0007,023
00002.0008,024
00002.0005,025
00002.0005,026
00002.0004,027
00002.0005,028
00002.0004,029
00002.0002,030
00002.0005,031
00002.0001,032
00002.0001,033
00002.0001,034
00002.0001,035
00002.0002,036
00002.0003,037
00002.0002,038
00002.0002,039
00002.0002,040
00002.0000,041
00002.0002,042
00002.0001,043
00002.0004,044
00002.0002,045
00002.0000,046
00002.0001,047
00002.0001,048
00002.0001,049
00002.0001,050
00002.0002,051
00002.0000,052
00002.0002,053
00002.0000,054
00002.0000,055
00002.0001,056
00002.0001,057
00002.0000,058
00002.0000,059
00001.9999,060
00002.0002,061
00002.0000,062
00002.0000,063
00001.9999,064
00001.9999,065
00002.0001,066
00001.9998,067
00002.0001,068
00002.0000,069
00001.9998,070
00002.0000,071
00002.0000,072
00001.9998,073
00002.0000,074
00001.9999,075
00001.9998,076
00001.9999,077
00002.0000,078
00001.9998,079
00002.0001,080
00001.9999,081
00001.9999,082
00001.9999,083
00001.9998,084
00001.9999,085
00001.9998,086
00001.9998,087
00001.9999,088
00001.9999,089
00001.9997,090
00001.9998,091
00002.0000,092
00001.9998,093
00001.9998,094
00001.9997,095
00002.0000,096
00001.9996,097
00001.9997,098
00001.9996,099
00001.9998,100
